run_timestamp,city,slug,date,day_of_week,total_booked_hours
2026-01-15T20:22:38,birminghamal,birminghamal,2026-01-15,Thursday,11.5
2026-01-15T20:22:38,huntsville-al-research-park,huntsville-al-research-park,2026-01-15,Thursday,9.0
2026-01-15T20:22:38,chandleraz,chandleraz,2026-01-15,Thursday,24.0
2026-01-15T20:22:38,southchandleraz,southchandleraz,2026-01-15,Thursday,24.5
2026-01-15T20:22:38,gilbertaz,gilbertaz,2026-01-15,Thursday,42.0
2026-01-15T20:22:38,glendaleaz,glendaleaz,2026-01-15,Thursday,36.5
2026-01-15T20:22:38,goodyear-az,goodyear-az,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,mesa-az-east,mesa-az-east,2026-01-15,Thursday,10.0
2026-01-15T20:22:38,paradise-valley-az,paradise-valley-az,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,glendale-az-peoria,glendale-az-peoria,2026-01-15,Thursday,34.0
2026-01-15T20:22:38,scottsdaleaz,scottsdaleaz,2026-01-15,Thursday,58.0
2026-01-15T20:22:38,scottsdale-az-north,scottsdale-az-north,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,surpriseaz,surpriseaz,2026-01-15,Thursday,19.5
2026-01-15T20:22:38,talkingstickaz,talkingstickaz,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,tempeaz,tempeaz,2026-01-15,Thursday,15.5
2026-01-15T20:22:38,carlsbadca,carlsbadca,2026-01-15,Thursday,17.5
2026-01-15T20:22:38,rancho-mirage-ca,rancho-mirage-ca,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,fort-collins-timnath-co,fort-collins-timnath-co,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,invernessco,invernessco,2026-01-15,Thursday,23.5
2026-01-15T20:22:38,littleton-co,littleton-co,2026-01-15,Thursday,24.5
2026-01-15T20:22:38,loveland-co-johnstown,loveland-co-johnstown,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,colorado-springs-northgate,colorado-springs-northgate,2026-01-15,Thursday,22.5
2026-01-15T20:22:38,pueblowestco,pueblowestco,2026-01-15,Thursday,38.0
2026-01-15T20:22:38,wilmingtonde,wilmingtonde,2026-01-15,Thursday,44.5
2026-01-15T20:22:38,boca-raton-fl-west,boca-raton-fl-west,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,bradentonfl,bradentonfl,2026-01-15,Thursday,22.5
2026-01-15T20:22:38,jacksonvillebeachfl,jacksonvillebeachfl,2026-01-15,Thursday,14.0
2026-01-15T20:22:38,miramarbeach,miramarbeach,2026-01-15,Thursday,31.0
2026-01-15T20:22:38,naplesfl,naplesfl,2026-01-15,Thursday,32.5
2026-01-15T20:22:38,naples-fl-north,naples-fl-north,2026-01-15,Thursday,9.0
2026-01-15T20:22:38,oldsmarfl,oldsmarfl,2026-01-15,Thursday,38.5
2026-01-15T20:22:38,orlando-fl-waterford-lakes,orlando-fl-waterford-lakes,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,ponte-vedra-fl,ponte-vedra-fl,2026-01-15,Thursday,21.0
2026-01-15T20:22:38,port-charlotte-fl,port-charlotte-fl,2026-01-15,Thursday,29.0
2026-01-15T20:22:38,spring-hill-fl,spring-hill-fl,2026-01-15,Thursday,19.0
2026-01-15T20:22:38,alpharetta-ga,alpharetta-ga,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,westmidtownga,westmidtownga,2026-01-15,Thursday,37.0
2026-01-15T20:22:38,augustaga,augustaga,2026-01-15,Thursday,40.0
2026-01-15T20:22:38,braseltonga,braseltonga,2026-01-15,Thursday,25.0
2026-01-15T20:22:38,dacula-ga,dacula-ga,2026-01-15,Thursday,26.5
2026-01-15T20:22:38,mcdonoughga,mcdonoughga,2026-01-15,Thursday,31.0
2026-01-15T20:22:38,warnerrobinsga,warnerrobinsga,2026-01-15,Thursday,31.5
2026-01-15T20:22:38,woodstock-ga,woodstock-ga,2026-01-15,Thursday,0.0
2026-01-15T20:22:38,ankeny-ia,ankeny-ia,2026-01-15,Thursday,16.0
2026-01-15T20:22:38,des-moines-ia-downtown,des-moines-ia-downtown,2026-01-15,Thursday,0.0
