slug,number_of_bays,average_hours_perbay,avg_daily_max_hours,avg_mon_max_hours,avg_tue_max_hours,avg_wed_max_hours,avg_thu_max_hours,avg_fri_max_hours,avg_sat_max_hours,avg_sun_max_hours
aikensc,,,42.59,42.25,40.62,38.75,41.2,44.0,47.25,44.38
aledo-willow-park-tx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allen-tx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpharetta-ga,,,11.84,10.12,9.0,11.75,11.1,10.0,16.25,14.88
amarillo-tx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
americanforkut,,,49.23,48.5,47.62,50.5,52.0,48.12,54.12,43.75
ankeny-ia,,,20.78,14.38,15.12,16.25,16.9,26.0,30.62,27.12
arlington-tx-south,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ascension-la,,,3.0,3.75,1.0,4.0,2.0,3.25,6.0,1.25
augustaga,,,39.6,39.62,38.25,42.12,39.2,38.25,40.38,39.5
austin-tx-westlake,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baton-rouge-st-george,,,15.81,18.12,13.75,20.12,11.9,15.12,16.88,15.75
bethpage-ny,,,47.21,45.62,47.0,43.5,44.7,50.0,52.12,48.12
birminghamal,,,28.12,24.12,24.12,29.0,25.12,25.0,35.62,33.88
boca-raton-fl-west,,,1.69,0.0,1.62,6.0,0.8,1.25,1.75,0.62
boise-id,,,41.64,40.88,36.5,41.38,39.1,44.38,47.5,42.38
bozemanmt,,,50.24,46.25,46.0,48.25,43.4,49.5,63.75,56.25
bradentonfl,,,24.47,23.88,23.75,26.62,23.7,18.75,29.38,25.38
braseltonga,,,41.9,39.62,35.38,38.62,34.5,45.38,59.38,42.25
brunswickoh,,,53.88,52.38,53.25,51.5,54.8,53.5,54.0,57.5
carlsbadca,,,21.83,21.5,20.75,21.38,20.7,21.38,22.0,25.38
carmelin,,,39.6,36.12,39.5,37.62,38.3,44.88,42.38,38.75
cedar-park-tx-lakeline,,,0.0,,0.0,0.0,0.0,0.0,,
cedar-rapids-ia,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cedarcity,,,31.54,32.0,32.75,30.5,36.0,29.75,36.62,23.12
chandleraz,,,22.91,19.75,23.38,21.5,24.4,27.5,22.88,20.62
chapel-hill-nc,,,31.72,33.62,29.88,29.38,31.2,34.0,34.0,30.12
chardonoh,,,29.24,22.62,26.62,25.5,24.2,30.88,39.88,36.25
chattanoogatn,,,41.33,42.62,41.38,39.12,36.3,40.0,45.12,46.0
clackamas-or,,,19.9,16.38,20.25,20.0,14.9,20.12,26.62,22.25
clarkstonmi,,,29.02,26.38,24.12,27.38,22.1,32.5,35.38,37.0
clarksvilletn,,,66.36,71.62,61.5,59.5,61.6,67.25,75.25,69.0
cleveland-tn,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colleyville-tx,,,28.93,27.88,22.75,28.88,24.88,29.38,38.38,30.38
colorado-springs-northgate,,,29.91,29.5,28.62,28.5,26.9,32.62,35.88,28.12
columbus-upper-arlington-oh,,,33.95,31.25,31.75,29.25,27.8,32.88,47.75,38.5
crofton-md,,,24.07,17.75,9.75,35.12,28.1,30.5,22.75,23.5
dacula-ga,,,27.71,27.75,26.0,20.38,25.4,28.38,40.38,26.25
dayton-oh-centerville,,,0.0,,,,0.0,0.0,,
denton-tx,,,24.36,23.88,25.62,23.38,20.38,23.38,24.12,29.75
des-moines-ia-downtown,,,7.78,4.5,6.88,7.12,5.2,6.25,14.62,10.5
des-moines-waukee-ia,,,10.48,7.62,8.12,6.75,10.5,10.25,14.75,15.38
east-odessa-tx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eastaustintx,,,41.04,36.62,38.75,40.0,35.25,43.62,53.38,39.62
eugeneor,,,53.41,53.25,48.12,52.88,53.1,53.75,56.12,56.75
evansville-in-east,,,0.0,,,,0.0,0.0,,
farmington-mi,,,34.66,28.88,37.25,29.12,29.1,34.5,47.5,37.62
fayetteville-ar,,,17.56,18.0,20.0,8.0,15.0,14.5,25.0,28.0
fishers-in,,,44.64,43.88,42.88,42.62,43.4,49.88,53.0,37.12
fivetowns-ny,,,20.59,19.38,18.88,19.75,24.8,15.88,21.62,22.75
